AS      | CC | Registry | Allocated  | AS Name
10392   | US | arin     | 2011-05-18 | NSB1-NET - New Source Broadband,US
10396   | PR | arin     |            | COQUI-NET - DATACOM CARIBE, INC.,PR
10397   | US | arin     |            | MOMENTUM - SinglePipe Communications, Inc.,US
104     | US | arin     |            | COLORADO-AS - University of Colorado at Boulder,US
10400   | CA | arin     |            | THETORONTOSTAR - Toronto Star,CA
10405   | US | arin     |            | UPRR-ASN-01 - Union Pacific Railroad Company,US
10406   | US | arin     |            | ASN-TEKTRONIX - Tektronix, Inc.,US
10411   | US | arin     |            | ESRI - Environmental Systems Research Institute,US
10412   | BR | lacnic   |            | CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ,BR
10417   | BR | lacnic   | 2000-02-15 | Fundação de Desenvolvimento da Pesquisa,BR
10419   | US | arin     | 2012-09-20 | SOLUTIONWARE - SolutionWare, Ltd.,US
10420   | MX | lacnic   |            | Banco de Mexico,MX
10421   | US | arin     |            | TTUNET - Texas Tech University,US
10423   | US | arin     | 2005-05-04 | SPARTAN-NET - Spartan-Net,US
10425   | US | arin     | 2005-03-28 | AWG-BOS - Advanced Wireless Group, LLC,US
10429   | BR | lacnic   |            | Telefonica Data S.A.,BR
10430   | US | arin     |            | WA-K20 - Washington State K-20 Telecommunications Network,US
10431   | US | arin     | 2013-07-05 | EDGENETWORKS - Edge IT, LLC,US
10434   | US | arin     |            | SAT-TEL - Satellite Communication Systems, Inc.,US
10436   | MX | lacnic   |            | Instituto Tecnológico y de Estudios Superiores de Monterrey,MX
10437   | US | arin     |            | UKY - University of Kentucky, Communication Services,US
10439   | US | arin     |            | CARINET - CariNet, Inc.,US
10440   | US | arin     | 2010-12-03 | MERKLE-INC - Merkle Inc.,US
10441   | US | arin     |            | CH2M - CH2M HILL,US
10442   | US | arin     |            | ED-GOV - Department of Education,US
10444   | US | arin     |            | ZIONS-MANAGMENT-SERVICES-COMPANY - Zions Management Services Company,US
10445   | US | arin     |            | HTG - Huntleigh Telcom,US
10446   | US | arin     |            | AMIGO-NET - Zero Error Networks,US
10448   | US | arin     |            | VILLANOVA-UNIV - Villanova University,US
10451   | US | arin     |            | WARPDRIVE - Warpdrive Networks,US
10452   | AR | lacnic   |            | FritzWare S.R.L.,AR
10453   | US | arin     |            | CNIWEB - CREATIVE NETWORK INNOVATIONS, INC.,US
10455   | US | arin     |            | LUCENT-CIO - Alcatel-Lucent,US
10457   | US | arin     |            | ILX-ASN - Thomson Reuters U.S. LLC,US
10458   | US | arin     |            | JUNIPER-TEST-AS - Juniper Networks, Inc.,US
10461   | US | arin     |            | EZE-CASTLE-SOFTWARE-LLC - Eze Castle Software LLC,US
10464   | US | arin     |            | TEAMTECH - Team Technologies, LLC,US
10466   | US | arin     |            | MAGPI - MAGPI c/o University of Pennsylvania,US
10469   | US | arin     |            | FIRSTNET - FIRST Inc.,US
10474   | ZA | afrinic  |            | MWEB-10474,ZA
10475   | US | arin     |            | VENTURENET - VentureNet, L.L.C.,US
10479   | MX | lacnic   |            | Instituto Tecnológico y de Estudios Superiores de Monterrey,MX
10480   | US | arin     | 2011-12-19 | RA-N002 - Rack Alley LLC,US
10481   | AR | lacnic   |            | Prima S.A.,AR
10487   | US | arin     |            | SIMPLENET - Simple Network Communications, Inc,US
10488   | US | arin     |            | TFM-ASN - tfm associates,US
10489   | US | arin     |            | CONVERGENTAZ-AS - Convergent Internet Solutions,US
10490   | US | arin     |            | SOUTHERN-CROSSROADS-SOX - Georgia Institute of Technology,US
10493   | US | arin     |            | GCN-AS - Grand Central Networks Inc.,US
10494   | US | arin     |            | AAI - Accurate Automation, Inc.,US
